Region and country of birth;Continent;Year;Total;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Guam;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Puerto Rico;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
New Zealand;Oceania;2022;789;4;4;14;4;196;24;8;0;0;33;12;0;24;3;24;0;5;0;3;3;3;9;14;13;12;0;4;3;0;10;0;11;0;55;13;0;14;8;33;14;0;0;8;0;11;51;17;0;26;78;0;3;0
Nicaragua;North America;2022;4.609;14;0;39;8;1.004;21;16;4;9;1.920;102;0;0;0;41;24;9;6;12;45;0;116;19;11;17;3;10;0;5;74;0;126;3;147;82;0;13;6;27;44;9;3;19;0;26;352;17;0;103;35;3;19;0
Niger;Africa;2022;172;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;21;0;0;0;0;0;9;0;5;0;0;0;0;0;0;0;4;0;33;18;0;5;0;0;28;0;0;0;0;0;4;0;0;4;0;0;0;0
Nigeria;Africa;2022;14.438;77;9;133;32;989;78;87;63;82;319;1.126;0;11;14;608;306;18;53;48;44;9;1.472;382;204;252;13;92;0;19;59;20;880;16;1.217;237;22;283;118;59;373;0;70;49;5;109;3.621;18;6;301;146;18;77;4
Norway;Europe;2022;677;8;5;12;0;122;19;10;0;0;58;11;0;4;6;15;0;5;3;0;0;4;9;19;10;20;0;0;0;0;7;4;20;0;45;7;0;4;0;10;16;0;0;7;0;0;103;4;0;15;55;0;10;0
Pakistan;Asia;2022;18.006;86;6;91;33;2.118;67;234;85;17;474;542;0;5;20;1.060;145;22;59;71;69;10;674;302;389;66;9;113;0;19;63;28;1.363;26;3.218;265;0;273;93;33;591;0;28;23;4;74;3.123;50;0;1.357;334;25;125;0
Panama;North America;2022;1.357;16;3;11;4;114;17;8;0;6;303;87;0;0;0;26;12;0;5;5;11;0;40;16;7;0;6;9;0;0;14;0;47;7;209;32;0;16;6;8;20;13;0;16;0;13;143;11;0;47;19;3;4;0
Paraguay;South America;2022;389;0;0;6;0;32;3;14;0;0;51;3;0;0;0;3;3;0;4;0;0;0;19;4;0;0;0;3;0;0;0;0;40;0;126;0;0;0;0;3;5;0;0;5;0;0;20;3;0;10;13;0;0;0
Peru;South America;2022;10.822;38;15;73;16;1.394;108;295;23;45;2.076;296;0;9;41;141;46;13;16;33;17;12;345;152;50;59;9;33;11;8;91;10;1.731;12;1.144;151;3;92;40;62;172;32;15;57;3;46;626;207;3;617;175;6;62;7
Poland;Europe;2022;53.413;244;371;881;161;19.212;306;273;97;71;2.143;568;640;2.582;115;2.270;349;91;137;170;286;61;1.229;281;502;263;100;237;36;69;2.094;61;2.304;242;2.805;471;96;457;181;474;609;0;34;254;41;332;4.001;192;0;1.356;2.541;73;240;32
Portugal;Europe;2022;7.069;19;7;61;0;417;51;380;11;12;323;78;0;18;5;2.215;32;5;5;8;8;4;44;130;144;30;3;6;5;5;36;15;922;6;1.237;43;0;32;8;26;198;0;19;32;0;25;168;12;4;48;122;0;48;0
Philippines;Asia;2022;1.896;0;0;5;0;186;6;116;0;0;96;23;0;0;4;10;3;3;3;0;0;0;31;306;8;4;0;0;0;0;4;7;593;0;220;11;0;0;4;6;51;0;73;7;0;5;39;6;0;22;19;0;0;0
Qatar;Asia;2022;161;0;0;0;0;25;4;0;0;0;5;7;0;0;0;5;0;0;3;0;0;0;6;3;7;0;0;0;0;0;0;0;6;0;12;9;0;6;0;0;0;0;0;0;0;0;32;0;0;14;0;0;0;0
Romania;Europe;2022;3.327;22;0;125;6;460;27;32;15;6;290;146;0;14;11;359;22;3;3;9;12;8;41;65;166;18;5;12;4;5;62;9;122;6;271;47;0;65;9;78;73;0;6;49;0;33;227;10;0;90;226;0;23;0
Russia;Europe;2022;8.654;37;27;68;7;1.805;131;99;19;24;818;199;0;16;23;297;37;18;15;31;12;15;148;318;89;83;12;49;5;15;70;19;451;6;1.122;148;8;118;26;178;316;4;15;89;8;46;494;34;4;229;704;7;62;8
Rwanda;Africa;2022;877;5;3;63;0;23;5;0;0;0;4;23;0;0;11;24;33;24;4;86;0;45;15;10;36;5;0;11;0;0;3;15;5;0;19;12;0;105;3;7;16;0;0;8;0;25;164;20;0;9;11;0;8;0
Saint Kitts and Nevis;North America;2022;357;0;0;0;0;3;0;11;0;0;68;19;0;0;0;3;0;0;0;0;0;0;8;10;0;0;0;0;0;0;0;0;14;0;89;5;0;0;0;0;5;3;0;0;0;5;21;0;0;7;0;0;0;0
Saint Lucia;North America;2022;844;0;0;3;0;18;0;44;3;3;94;36;0;0;0;5;0;0;0;0;3;0;21;13;3;0;0;0;0;0;0;0;52;0;352;6;0;4;4;0;22;0;0;3;0;0;80;0;0;7;5;0;0;0
Saint Vincent and the Grenadines;North America;2022;510;3;0;3;0;11;0;10;0;0;41;20;0;0;0;3;0;0;0;0;0;0;12;7;0;0;0;0;0;0;0;0;37;0;292;6;0;0;0;0;23;0;3;0;0;0;8;0;0;6;0;0;0;0
Samoa;Oceania;2022;230;0;15;4;0;60;3;0;0;0;3;0;0;19;3;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;7;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4;38;0;0;46;0;0;0
Saudi Arabia;Asia;2022;1.915;6;0;20;7;323;25;20;5;8;89;40;0;0;4;123;21;10;6;12;8;4;35;40;105;34;3;13;0;6;8;0;96;4;126;25;4;72;12;22;46;0;0;14;0;16;277;6;0;122;60;4;11;0
Senegal;Africa;2022;1.361;6;0;8;0;56;20;10;0;11;21;77;0;0;0;23;20;0;12;44;7;0;82;19;38;6;0;8;0;0;12;0;70;0;338;36;3;139;6;0;40;0;34;5;0;24;78;0;0;36;31;0;12;0
Serbia;Europe;2022;1.226;0;9;22;3;137;14;13;0;10;126;19;0;4;0;256;22;0;0;0;0;4;15;41;23;3;0;5;0;0;30;0;47;0;168;14;0;22;0;8;25;0;0;6;0;0;52;4;0;44;23;3;28;0
Serbia and Montenegro (former);Europe;2022;664;0;0;20;0;85;4;16;0;4;51;13;0;0;0;72;12;4;0;3;0;0;16;14;44;5;0;6;0;0;9;3;32;0;117;7;0;25;0;7;15;0;0;0;0;4;16;4;0;7;19;0;6;0
Sierra Leone;Africa;2022;1.981;7;0;20;0;105;8;12;27;17;14;86;0;0;0;13;10;8;0;3;0;0;417;54;9;36;0;0;0;0;0;0;163;0;143;31;5;119;0;9;194;0;0;0;0;10;116;3;0;262;22;0;10;0
Singapore;Asia;2022;386;0;0;5;0;96;8;3;0;0;20;10;0;0;0;14;0;0;0;0;0;0;5;14;5;0;0;0;0;0;6;0;22;0;41;5;0;3;4;3;5;0;0;0;0;0;42;3;3;12;30;0;0;0
Slovakia;Europe;2022;466;0;0;8;0;57;7;15;4;0;52;13;0;0;0;34;0;4;0;0;0;0;5;12;3;3;3;0;0;0;3;0;60;0;53;12;0;10;3;5;23;0;3;6;0;4;21;0;0;7;13;0;0;0
Slovenia;Europe;2022;103;0;0;0;0;30;0;0;0;0;8;3;0;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;14;0;0;4;0;0;3;0;0;0;0;0;5;0;0;0;3;0;0;0
Somalia;Africa;2022;7.699;0;14;106;0;112;172;5;0;3;5;82;0;0;22;40;32;71;49;372;0;78;20;108;49;3.113;0;161;0;280;4;5;0;0;234;27;55;967;0;173;77;0;0;0;19;67;166;62;42;49;525;0;274;0
South Africa;Africa;2022;3.002;36;0;48;25;412;80;45;7;12;324;188;0;20;14;84;33;8;17;27;17;8;51;61;38;34;5;21;6;8;22;15;97;5;163;86;9;36;14;43;76;0;5;33;9;51;385;33;4;99;125;5;27;5
South Sudan;Africa;2022;178;0;0;8;0;3;0;0;0;0;4;0;0;0;0;5;0;18;0;4;0;3;4;5;3;15;0;8;0;16;0;0;0;0;0;0;0;3;0;5;5;0;0;0;0;7;17;10;0;8;11;0;0;0
Soviet Union (former);Africa;2022;2.376;11;9;23;0;451;31;47;5;10;174;46;0;6;12;95;8;11;3;8;3;0;44;131;14;22;0;12;0;4;18;9;138;7;308;34;0;32;5;35;97;0;3;21;3;13;119;10;3;78;232;3;14;0
Spain;Europe;2022;2.577;11;0;25;7;419;35;33;5;33;489;54;0;10;4;71;20;5;7;9;7;0;47;110;21;11;0;13;4;5;19;6;181;8;305;43;0;28;3;28;52;34;5;15;0;14;185;17;0;68;78;0;9;0
Sri Lanka;Asia;2022;1.936;5;0;9;6;351;12;32;9;6;48;45;0;3;0;50;12;6;19;12;3;0;138;58;33;35;0;17;0;0;34;4;137;0;337;28;0;27;4;32;38;0;4;6;0;6;217;7;0;52;56;0;11;0
Sudan;Africa;2022;3.303;8;4;120;0;163;102;36;6;11;75;75;0;0;31;126;68;196;43;29;7;11;125;61;73;55;0;64;0;140;12;16;67;0;211;112;5;125;5;15;168;0;4;11;38;89;326;40;0;262;95;0;34;0
Suriname;South America;2022;194;0;0;0;0;4;0;4;0;0;41;9;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;14;0;83;0;0;0;0;0;7;0;0;0;0;0;6;0;0;3;0;0;0;0
Sweden;Europe;2022;1.115;6;4;17;5;333;22;11;0;7;95;29;0;13;5;27;4;3;0;3;0;0;17;35;10;12;0;7;0;0;8;0;51;6;81;38;0;13;3;13;22;0;0;4;0;6;70;12;3;27;59;0;6;0
Switzerland;Europe;2022;544;0;0;6;0;126;15;7;0;0;59;18;0;9;4;14;4;0;0;3;0;0;10;20;6;0;0;3;3;3;5;0;27;3;60;13;0;6;4;8;10;0;6;4;3;0;27;5;0;11;19;0;0;0
Syria;Asia;2022;9.896;17;0;385;6;1.775;91;184;0;9;469;198;0;0;56;598;141;31;38;211;21;58;187;227;1.051;32;3;108;9;85;48;11;345;24;421;223;0;508;21;115;706;0;76;16;5;70;744;26;4;204;170;27;87;0
Taiwan;Asia;2022;5.559;7;5;60;0;2.479;36;29;7;6;113;99;0;32;18;139;31;11;8;6;8;0;85;122;57;23;10;13;0;0;48;10;187;11;451;29;0;45;10;117;93;0;5;10;3;21;507;21;4;88;431;6;18;0
Tajikistan;Asia;2022;528;0;0;4;0;44;35;0;0;0;17;5;0;3;0;19;0;0;0;0;0;0;9;3;0;0;0;7;0;30;4;0;30;0;176;0;0;5;0;10;29;0;0;0;0;4;19;0;0;37;21;0;0;0
Tanzania;Africa;2022;866;12;0;34;0;44;7;11;4;5;31;39;0;4;9;21;10;29;16;35;3;0;53;27;25;24;0;10;0;3;5;9;19;0;58;24;4;33;3;0;25;0;0;0;0;15;119;7;0;26;28;0;14;0
Togo;Africa;2022;6.502;38;38;126;44;1.370;99;45;20;11;319;162;7;71;35;192;123;68;48;69;20;10;102;177;96;316;11;60;7;89;133;24;93;9;382;120;7;79;41;141;115;0;17;44;22;59;482;51;12;225;416;8;184;0
Tonga;Oceania;2022;1.483;15;0;16;0;28;15;32;6;11;15;96;0;0;0;113;31;80;8;28;4;0;176;11;5;75;0;14;0;58;5;0;50;4;192;49;5;41;0;4;49;0;0;11;3;13;74;6;0;77;16;0;17;0
Tunisia;Africa;2022;421;0;4;16;0;224;4;0;0;0;0;0;0;35;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;20;80;0;0;15;0;0;0
Turkey;Asia;2022;4.832;10;0;20;4;111;12;54;20;20;700;192;0;0;0;25;17;0;0;0;18;4;223;105;15;17;4;6;0;0;16;0;423;8;1.982;54;0;23;5;7;193;0;10;14;0;14;314;6;0;85;24;0;5;0
Turkmenistan;Asia;2022;509;5;0;4;5;82;5;4;5;6;53;12;0;0;0;18;5;3;0;4;0;0;14;12;18;0;0;0;0;0;0;0;21;0;55;11;0;14;0;11;30;0;0;0;0;6;36;0;0;39;8;0;5;0
Thailand;Asia;2022;4.725;23;0;38;17;765;34;73;26;18;329;137;0;7;4;134;17;10;9;8;13;5;103;185;49;26;0;23;4;0;22;18;653;8;667;75;0;62;13;36;142;0;5;22;0;32;452;7;4;205;186;0;16;0
Trinidad and Tobago;North America;2022;228;0;0;5;0;33;0;0;3;0;16;4;0;0;0;10;0;0;0;0;0;0;0;0;5;6;0;0;0;0;3;0;13;0;48;0;0;0;0;0;12;0;0;0;0;0;21;0;0;3;14;0;8;0
Uganda;Africa;2022;1.296;12;0;19;5;148;31;11;3;8;29;31;0;0;6;47;17;8;6;12;4;3;72;243;21;50;0;11;0;5;6;4;40;4;53;23;0;36;9;13;35;0;4;9;0;17;106;8;3;41;56;0;5;0
Ukraine;Europe;2022;10.179;28;43;50;10;1.571;148;128;19;25;562;195;0;14;64;846;36;22;18;57;15;11;103;184;184;100;0;91;11;18;34;19;523;7;1.397;121;7;262;40;359;524;5;9;172;17;80;310;34;3;180;1.383;8;46;0
United Arab Emirates;Asia;2022;966;6;0;9;0;146;11;0;0;3;42;35;0;0;0;52;10;0;6;0;5;0;19;8;56;12;0;4;3;0;3;0;57;0;74;15;0;23;8;13;35;0;0;5;0;5;181;0;0;55;39;0;3;0
United Kingdom;Europe;2022;12.975;72;11;240;40;2.405;237;250;32;65;1.289;466;0;42;52;380;116;53;44;67;50;51;214;416;266;109;16;81;11;14;117;49;566;44;1.133;322;3;180;52;225;359;0;44;164;4;138;1.303;79;22;325;548;25;93;5
United States;North America;2022;392;0;0;7;3;64;0;4;0;0;45;10;0;4;0;5;3;0;0;0;0;0;11;8;3;11;0;0;0;0;4;0;26;3;48;9;0;6;4;0;8;0;0;0;0;0;58;0;0;17;9;0;0;0
Uruguay;South America;2022;1.038;5;0;8;0;60;3;25;0;0;291;76;0;4;0;5;5;0;0;4;0;0;24;44;4;6;0;0;0;0;7;0;192;0;67;10;0;5;0;0;26;5;0;12;0;5;54;21;0;27;4;0;7;0
Uzbekistan;Asia;2022;3.030;7;0;14;0;252;23;13;0;3;195;54;0;0;9;112;17;0;5;17;0;0;71;33;26;15;0;28;0;0;12;4;98;0;1.071;38;0;178;0;39;318;0;0;46;0;41;80;3;0;70;91;0;5;0
Venezuela;South America;2022;11.497;46;5;64;11;403;57;55;22;33;5.718;376;0;12;10;127;61;13;28;52;39;0;117;149;63;35;11;42;0;4;33;8;280;13;520;143;3;94;40;50;131;110;19;75;0;69;1.836;96;0;181;117;0;17;3
Vietnam;Asia;2022;33.246;316;24;573;162;10.151;391;168;39;26;1.554;1.452;0;157;47;543;185;168;235;113;391;40;417;903;402;518;138;281;11;148;216;53;400;100;433;489;19;325;370;658;901;0;14;199;20;272;5.845;125;11;975;1.831;29;157;9
Yemen;Asia;2022;4.212;71;0;6;21;646;3;31;21;0;14;16;0;0;0;135;49;3;3;4;30;0;19;11;958;24;70;5;0;0;3;0;39;0;1.515;147;0;29;0;11;48;0;0;7;0;86;44;0;0;63;26;9;5;0
Zambia;Africa;2022;503;0;0;13;4;32;5;20;3;5;25;53;0;0;6;20;12;0;0;3;0;0;22;11;11;12;0;3;0;0;0;0;12;0;29;6;0;11;5;6;29;0;3;5;0;3;67;3;0;21;23;0;3;0
Zimbabwe;Africa;2022;855;7;0;12;0;68;6;5;3;5;39;42;0;0;0;26;28;3;4;13;6;0;43;33;24;12;0;5;0;4;3;7;25;4;45;21;5;21;5;8;26;0;0;9;0;7;189;9;0;38;26;4;4;0
Afghanistan;Asia;2021; 4.198 ; -   ; -   ; 97 ; -   ; 1.218 ; 81 ; 30 ; -   ; 7 ; 46 ; 80 ; -   ; -   ; 20 ; 52 ; 7 ; 6 ; 17 ; 21 ; 14 ; 16 ; 108 ; 53 ; 39 ; 17 ; -   ; 22 ; -   ; 26 ; 30 ; 3 ; 63 ; 32 ; 260 ; 44 ; 19 ; 39 ; 3 ; 45 ; 66 ; -   ; -   ; 7 ; 3 ; 24 ; 464 ; 20 ; -   ; 867 ; 175 ; -   ; 5 ; -   
Albania;Europe;2021; 3.314 ; -   ; -   ; 31 ; -   ; 98 ; 7 ; 233 ; -   ; 7 ; 282 ; 8 ; -   ; -   ; 4 ; 160 ; 5 ; -   ; -   ; -   ; -   ; 10 ; 27 ; 445 ; 342 ; -   ; -   ; 18 ; -   ; -   ; 15 ; 13 ; 184 ; -   ; 848 ; 23 ; -   ; 65 ; 3 ; 3 ; 247 ; -   ; -   ; 8 ; -   ; 4 ; 58 ; -   ; -   ; 37 ; 18 ; -   ; 57 ; -   
Algeria;Africa;2021; 1.417 ; -   ; -   ; 8 ; -   ; 205 ; 30 ; 20 ; -   ; 4 ; 49 ; 14 ; -   ; -   ; -   ; 86 ; 9 ; -   ; 32 ; 15 ; 7 ; -   ; 14 ; 71 ; 11 ; 7 ; -   ; 7 ; -   ; 6 ; 3 ; 10 ; 112 ; -   ; 180 ; 20 ; -   ; 80 ; -   ; -   ; 191 ; -   ; -   ; -   ; -   ; 4 ; 112 ; -   ; -   ; 54 ; 12 ; -   ; 16 ; -   
American Samoa;Oceania;2021; 173 ; -   ; 14 ; -   ; -   ; 32 ; 3 ; -   ; -   ; -   ; -   ; 5 ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; 13 ; -   ; -   ; 34 ; -   ; -   ; -   
Antigua and Barbuda;North America;2021; 336 ; -   ; -   ; -   ; -   ; 8 ; -   ; 7 ; 3 ; -   ; 46 ; 17 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 28 ; -   ; 128 ; 6 ; -   ; -   ; -   ; -   ; 8 ; -   ; 3 ; -   ; -   ; 5 ; 13 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Angola;Africa;2021; 137 ; -   ; -   ; -   ; -   ; 4 ; -   ; 3 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; 4 ; -   ; 6 ; 7 ; 31 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9 ; -   ; 8 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 5 ; -   ; -   ; 3 ; 17 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   
Argentina;South America;2021; 3.968 ; 6 ; -   ; 24 ; 9 ; 627 ; 49 ; 77 ; 4 ; 12 ; 1.424 ; 42 ; -   ; 13 ; 5 ; 57 ; 11 ; 18 ; 5 ; 13 ; 6 ; 3 ; 80 ; 78 ; 19 ; 20 ; 4 ; 20 ; 5 ; 4 ; 47 ; 6 ; 164 ; 8 ; 298 ; 59 ; -   ; 21 ; 12 ; 18 ; 63 ; 32 ; 5 ; 9 ; 3 ; 20 ; 295 ; 73 ; -   ; 87 ; 50 ; -   ; 26 ; -   
Armenia;Asia;2021; 3.525 ; 3 ; -   ; 9 ; -   ; 2.899 ; 18 ; 15 ; -   ; 3 ; 27 ; 11 ; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; 31 ; 48 ; 14 ; 3 ; -   ; 3 ; -   ; -   ; 37 ; -   ; 41 ; -   ; 140 ; 4 ; -   ; 13 ; -   ; 3 ; 25 ; -   ; -   ; 8 ; -   ; 3 ; 27 ; 8 ; -   ; 15 ; 34 ; -   ; 4 ; -   
Australia;Oceania;2021; 2.042 ; 5 ; 4 ; 56 ; -   ; 573 ; 77 ; 38 ; 4 ; 12 ; 107 ; 31 ; -   ; 25 ; 10 ; 54 ; 17 ; 9 ; 5 ; 13 ; 11 ; 10 ; 29 ; 48 ; 32 ; 29 ; 6 ; 22 ; 9 ; 4 ; 15 ; 3 ; 55 ; 8 ; 194 ; 46 ; -   ; 24 ; 11 ; 54 ; 37 ; -   ; 5 ; 11 ; -   ; 27 ; 130 ; 29 ; 5 ; 34 ; 72 ; -   ; 12 ; 4 
Austria;Europe;2021; 169 ; -   ; -   ; 8 ; -   ; 36 ; 5 ; -   ; -   ; 3 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; 6 ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; 18 ; 4 ; -   ; 3 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; -   ; 7 ; -   ; -   ; -   
Azerbaijan;Asia;2021; 568 ; -   ; -   ; 3 ; -   ; 189 ; 6 ; -   ; -   ; -   ; 8 ; 5 ; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; 5 ; -   ; 3 ; 15 ; 21 ; 7 ; 4 ; -   ; 5 ; -   ; -   ; 5 ; -   ; 14 ; -   ; 118 ; 8 ; -   ; 6 ; -   ; 4 ; 21 ; -   ; 3 ; -   ; -   ; -   ; 33 ; 4 ; -   ; 24 ; 19 ; -   ; 3 ; -   
Bahamas;North America;2021; 697 ; 5 ; -   ; -   ; -   ; 17 ; -   ; 3 ; -   ; -   ; 415 ; 46 ; -   ; -   ; -   ; 7 ; 6 ; -   ; -   ; 4 ; -   ; -   ; 7 ; 9 ; 4 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; 10 ; -   ; 32 ; 15 ; -   ; 6 ; 5 ; -   ; 10 ; -   ; -   ; 4 ; -   ; 8 ; 31 ; -   ; -   ; 17 ; 3 ; -   ; -   ; -   
Bahrain;Asia;2021; 107 ; -   ; -   ; -   ; -   ; 17 ; -   ; -   ; -   ; -   ; 6 ; 3 ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; -   ; 9 ; 3 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 21 ; -   ; -   ; 7 ; 3 ; -   ; -   ; -   
Bangladesh;Asia;2021; 10.110 ; 9 ; 4 ; 61 ; 12 ; 640 ; 23 ; 213 ; 27 ; 10 ; 329 ; 206 ; -   ; -   ; -   ; 48 ; 18 ; 10 ; 11 ; 11 ; 7 ; 5 ; 231 ; 180 ; 489 ; 38 ; -   ; 23 ; 4 ; 10 ; 23 ; 4 ; 638 ; -   ; 5.232 ; 64 ; 4 ; 51 ; 27 ; 28 ; 343 ; -   ; 8 ; 8 ; -   ; 22 ; 479 ; -   ; -   ; 376 ; 70 ; 3 ; 12 ; -   
Barbados;North America;2021; 641 ; -   ; -   ; 3 ; -   ; 14 ; 3 ; 25 ; 5 ; -   ; 57 ; 30 ; -   ; -   ; -   ; -   ; 8 ; -   ; -   ; 5 ; -   ; -   ; 27 ; 44 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; 44 ; -   ; 265 ; 11 ; -   ; 3 ; -   ; -   ; 37 ; -   ; -   ; -   ; -   ; -   ; 18 ; -   ; -   ; 13 ; 4 ; -   ; -   ; -   
Belarus;Europe;2021; 1.676 ; 3 ; -   ; 7 ; -   ; 326 ; 42 ; 24 ; -   ; 4 ; 156 ; 30 ; -   ; 4 ; -   ; 95 ; 3 ; -   ; -   ; -   ; -   ; -   ; 16 ; 78 ; 14 ; 28 ; -   ; 5 ; 3 ; -   ; 9 ; 3 ; 78 ; -   ; 311 ; 43 ; -   ; 24 ; -   ; 18 ; 104 ; -   ; -   ; 16 ; -   ; 7 ; 60 ; 4 ; -   ; 27 ; 74 ; -   ; 21 ; -   
Belgium;Europe;2021; 515 ; -   ; -   ; 10 ; -   ; 97 ; 13 ; 11 ; -   ; -   ; 67 ; 16 ; -   ; -   ; 3 ; 9 ; -   ; -   ; -   ; -   ; 7 ; 5 ; 13 ; 21 ; 9 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 22 ; -   ; 81 ; 5 ; -   ; 8 ; 3 ; 5 ; 14 ; -   ; -   ; 4 ; -   ; 3 ; 38 ; 3 ; -   ; 7 ; 12 ; -   ; -   ; -   
Belize;North America;2021; 1.051 ; -   ; -   ; 17 ; -   ; 453 ; 6 ; 5 ; -   ; -   ; 74 ; 8 ; -   ; -   ; -   ; 72 ; 3 ; -   ; 4 ; 5 ; 4 ; -   ; 10 ; 4 ; 5 ; -   ; -   ; 11 ; -   ; -   ; 14 ; -   ; 17 ; -   ; 123 ; 11 ; -   ; 4 ; -   ; -   ; 21 ; -   ; -   ; 3 ; -   ; 8 ; 105 ; -   ; -   ; 10 ; 12 ; -   ; 3 ; -   
Benin;Africa;2021; 354 ; -   ; -   ; 4 ; -   ; 11 ; 12 ; 3 ; -   ; -   ; 12 ; 12 ; -   ; -   ; -   ; 18 ; 11 ; 22 ; -   ; -   ; -   ; -   ; 33 ; 3 ; -   ; 7 ; -   ; -   ; -   ; 11 ; -   ; -   ; 6 ; -   ; 56 ; 17 ; -   ; 11 ; 5 ; -   ; 32 ; -   ; -   ; -   ; -   ; -   ; 18 ; -   ; -   ; 19 ; 3 ; -   ; -   ; -   
Bhutan;Asia;2021; 3.939 ; -   ; -   ; 13 ; -   ; 16 ; 97 ; -   ; -   ; -   ; -   ; 124 ; -   ; -   ; 9 ; 25 ; -   ; 54 ; 6 ; 180 ; -   ; -   ; 39 ; 95 ; 82 ; 53 ; -   ; 51 ; -   ; 90 ; -   ; 44 ; -   ; -   ; 257 ; 79 ; 198 ; 1.177 ; -   ; 26 ; 708 ; -   ; -   ; -   ; 69 ; 55 ; 130 ; 10 ; 53 ; 59 ; 64 ; -   ; 28 ; -   
Bolivia;South America;2021; 1.601 ; -   ; -   ; 4 ; 6 ; 142 ; 9 ; 15 ; -   ; 19 ; 215 ; 9 ; -   ; -   ; -   ; 19 ; 5 ; -   ; -   ; 6 ; 7 ; -   ; 113 ; 32 ; 4 ; -   ; 3 ; 10 ; -   ; -   ; 13 ; -   ; 49 ; 3 ; 101 ; 11 ; -   ; 7 ; 3 ; 7 ; 11 ; 3 ; 50 ; 5 ; -   ; -   ; 102 ; 13 ; 3 ; 558 ; 9 ; -   ; 7 ; -   
Bosnia and Herzegovina;Europe;2021; 1.197 ; -   ; -   ; 59 ; -   ; 70 ; 13 ; 67 ; -   ; 5 ; 121 ; 53 ; -   ; -   ; 17 ; 84 ; 17 ; 66 ; -   ; 53 ; 4 ; 3 ; 7 ; 12 ; 41 ; 13 ; -   ; 99 ; -   ; 6 ; 14 ; 8 ; 22 ; -   ; 69 ; 24 ; 10 ; 29 ; -   ; 9 ; 40 ; -   ; -   ; -   ; -   ; 12 ; 43 ; 10 ; 5 ; 33 ; 25 ; -   ; 11 ; -   
Brazil;South America;2021; 12.448 ; 30 ; 5 ; 155 ; 14 ; 1.476 ; 145 ; 452 ; 17 ; 29 ; 3.088 ; 343 ; -   ; 69 ; 25 ; 162 ; 72 ; 28 ; 34 ; 32 ; 39 ; 10 ; 214 ; 1.661 ; 135 ; 63 ; 7 ; 60 ; 12 ; 12 ; 77 ; 102 ; 831 ; 10 ; 747 ; 207 ; -   ; 113 ; 40 ; 73 ; 215 ; 8 ; 50 ; 83 ; 3 ; 55 ; 716 ; 160 ; 18 ; 207 ; 175 ; 6 ; 55 ; -   
